,state,value,age,gender,level
52,Alaska,0.6102995644315388,618,male,private
53,Arizona,0.5844951114789716,618,male,private
54,Arkansas,0.513548666016956,618,male,private
55,California,0.578783103595351,618,male,private
56,Colorado,0.6799782093187208,618,male,private
57,Connecticut,0.6483935558275611,618,male,private
58,Delaware,0.6304833431941945,618,male,private
59,District of Columbia,0.6299691350862129,618,male,private
60,Florida,0.5747628067756293,618,male,private
61,Georgia,0.5773324883076136,618,male,private
62,Hawaii,0.7030231700247686,618,male,private
63,Idaho,0.6725768767974791,618,male,private
64,Illinois,0.6474737760410232,618,male,private
65,Indiana,0.6351043778228245,618,male,private
66,Iowa,0.6834093766840309,618,male,private
67,Kansas,0.6894387340739462,618,male,private
68,Kentucky,0.5714790761011889,618,male,private
69,Louisiana,0.48768813408153405,618,male,private
70,Maine,0.6512245619350604,618,male,private
71,Maryland,0.6705076131316594,618,male,private
72,Massachusetts,0.7080918985207327,618,male,private
73,Michigan,0.6615655093958548,618,male,private
74,Minnesota,0.716482741954972,618,male,private
75,Mississippi,0.49563871064020293,618,male,private
76,Missouri,0.6371869288967588,618,male,private
77,Montana,0.6073834196891191,618,male,private
78,Nebraska,0.7104215475858905,618,male,private
79,Nevada,0.6186117324211041,618,male,private
80,New Hampshire,0.7335301568936454,618,male,private
81,New Jersey,0.6670536741605391,618,male,private
82,New Mexico,0.41044242768009076,618,male,private
83,New York,0.6069522916886683,618,male,private
84,North Carolina,0.5780636311712025,618,male,private
85,North Dakota,0.8142163355408388,618,male,private
86,Ohio,0.6452702838070128,618,male,private
87,Oklahoma,0.529184935745073,618,male,private
88,Oregon,0.6295902208813975,618,male,private
89,Pennsylvania,0.6377862374871334,618,male,private
90,Rhode Island,0.6668115770198527,618,male,private
91,South Carolina,0.5672598459329365,618,male,private
92,South Dakota,0.7007220555138785,618,male,private
93,Tennessee,0.5885250356681839,618,male,private
94,Texas,0.5609159192027727,618,male,private
95,Utah,0.7827524698133919,618,male,private
96,Vermont,0.6301279034948881,618,male,private
97,Virginia,0.6948888208503962,618,male,private
98,Washington,0.645328891019244,618,male,private
99,West Virginia,0.5834535938139445,618,male,private
100,Wisconsin,0.704016166528386,618,male,private
101,Wyoming,0.6906966274540508,618,male,private
102,Alabama,0.7281162607877588,1925,male,private
103,Alaska,0.6284028871871908,1925,male,private
104,Arizona,0.6581184808964261,1925,male,private
105,Arkansas,0.6575737894205095,1925,male,private
106,California,0.6330853661319399,1925,male,private
107,Colorado,0.7432230426012617,1925,male,private
108,Connecticut,0.6952083958755813,1925,male,private
109,Delaware,0.6698249834311102,1925,male,private
110,District of Columbia,0.7275084343371235,1925,male,private
111,Florida,0.6859513447650479,1925,male,private
112,Georgia,0.6959981485021987,1925,male,private
113,Hawaii,0.734649310610602,1925,male,private
114,Idaho,0.7242003014570424,1925,male,private
115,Illinois,0.7237881973936794,1925,male,private
116,Indiana,0.7270962295146921,1925,male,private
117,Iowa,0.7726679813797068,1925,male,private
118,Kansas,0.7766849909288082,1925,male,private
119,Kentucky,0.6806639519023867,1925,male,private
120,Louisiana,0.5998974651698695,1925,male,private
121,Maine,0.7196673626354017,1925,male,private
122,Maryland,0.7264679729429324,1925,male,private
123,Massachusetts,0.7720633863571007,1925,male,private
124,Michigan,0.7329622679562613,1925,male,private
125,Minnesota,0.7790665203557087,1925,male,private
126,Mississippi,0.6663214642458429,1925,male,private
127,Missouri,0.7431100608924839,1925,male,private
128,Montana,0.7004160887656034,1925,male,private
129,Nebraska,0.7639701557227331,1925,male,private
130,Nevada,0.6598133623762997,1925,male,private
131,New Hampshire,0.8362387744321184,1925,male,private
132,New Jersey,0.7156464077431554,1925,male,private
133,New Mexico,0.5327834401597142,1925,male,private
134,New York,0.6841973480039498,1925,male,private
135,North Carolina,0.6993029861540557,1925,male,private
136,North Dakota,0.8495250540282455,1925,male,private
137,Ohio,0.7333412082283616,1925,male,private
138,Oklahoma,0.6305715419214897,1925,male,private
139,Oregon,0.6876915998203882,1925,male,private
140,Pennsylvania,0.7572495948845969,1925,male,private
141,Rhode Island,0.8042200960736829,1925,male,private
142,South Carolina,0.7294794975454808,1925,male,private
143,South Dakota,0.7792142857142857,1925,male,private
144,Tennessee,0.7312332269988354,1925,male,private
145,Texas,0.6346887600415285,1925,male,private
146,Utah,0.8221490157800553,1925,male,private
147,Vermont,0.76143583227446,1925,male,private
148,Virginia,0.7519615621969497,1925,male,private
149,Washington,0.7149310559941489,1925,male,private
150,West Virginia,0.7086844174811819,1925,male,private
151,Wisconsin,0.783248095956437,1925,male,private
152,Wyoming,0.7285564007120894,1925,male,private
153,Alabama,0.7399753135219996,2634,male,private
154,Alaska,0.6425361742383522,2634,male,private
155,Arizona,0.6695497000697614,2634,male,private
156,Arkansas,0.6416912086309958,2634,male,private
157,California,0.682845691524827,2634,male,private
158,Colorado,0.7426663230683331,2634,male,private
159,Connecticut,0.7043410439435674,2634,male,private
160,Delaware,0.6985945391991801,2634,male,private
161,District of Columbia,0.8071840684906012,2634,male,private
162,Florida,0.6832441676863042,2634,male,private
163,Georgia,0.6834871128303031,2634,male,private
164,Hawaii,0.7695031164600244,2634,male,private
165,Idaho,0.6901303408982509,2634,male,private
166,Illinois,0.7531160754797556,2634,male,private
167,Indiana,0.7244611391609385,2634,male,private
168,Iowa,0.7691179004351861,2634,male,private
169,Kansas,0.772289260154917,2634,male,private
170,Kentucky,0.6759506962057078,2634,male,private
171,Louisiana,0.5855291637840703,2634,male,private
172,Maine,0.6763005780346821,2634,male,private
173,Maryland,0.7452665415284067,2634,male,private
174,Massachusetts,0.7602078522471665,2634,male,private
175,Michigan,0.7143457878686446,2634,male,private
176,Minnesota,0.7909275139211276,2634,male,private
177,Mississippi,0.680335710558358,2634,male,private
178,Missouri,0.7467153860901535,2634,male,private
179,Montana,0.6555808166149497,2634,male,private
180,Nebraska,0.7988245971117162,2634,male,private
181,Nevada,0.6655963370943525,2634,male,private
182,New Hampshire,0.8079437644398565,2634,male,private
183,New Jersey,0.7124927840710142,2634,male,private
184,New Mexico,0.5743204068447993,2634,male,private
185,New York,0.6869665146825584,2634,male,private
186,North Carolina,0.718664126363031,2634,male,private
187,North Dakota,0.8400212596332713,2634,male,private
188,Ohio,0.7084802250653717,2634,male,private
189,Oklahoma,0.6365325668834608,2634,male,private
190,Oregon,0.6908864013112556,2634,male,private
191,Pennsylvania,0.7435751968327604,2634,male,private
192,Rhode Island,0.7096027992913928,2634,male,private
193,South Carolina,0.7080244523615852,2634,male,private
194,South Dakota,0.745175586779816,2634,male,private
195,Tennessee,0.7153270189196211,2634,male,private
196,Texas,0.6696689043169818,2634,male,private
197,Utah,0.7999765734811807,2634,male,private
198,Vermont,0.6885116808119696,2634,male,private
199,Virginia,0.739313476870038,2634,male,private
200,Washington,0.7543673881443866,2634,male,private
201,West Virginia,0.6513412107296859,2634,male,private
202,Wisconsin,0.7777711534735368,2634,male,private
203,Wyoming,0.7065188071332235,2634,male,private
204,Alabama,0.7518852880405775,3544,male,private
205,Alaska,0.7141855662289925,3544,male,private
206,Arizona,0.716426393728223,3544,male,private
207,Arkansas,0.7245042678235931,3544,male,private
208,California,0.7167052235959606,3544,male,private
209,Colorado,0.7715432501414815,3544,male,private
210,Connecticut,0.7448162703611078,3544,male,private
211,Delaware,0.7206441107291478,3544,male,private
212,District of Columbia,0.867586611861421,3544,male,private
213,Florida,0.7196082867990687,3544,male,private
214,Georgia,0.7339659896134546,3544,male,private
215,Hawaii,0.8268064293863167,3544,male,private
216,Idaho,0.7526191733739053,3544,male,private
217,Illinois,0.7771267020848602,3544,male,private
218,Indiana,0.754078586573099,3544,male,private
219,Iowa,0.7943468439586888,3544,male,private
220,Kansas,0.7956777890559127,3544,male,private
221,Kentucky,0.7035717300119999,3544,male,private
222,Louisiana,0.6757828244221762,3544,male,private
223,Maine,0.7371451260671035,3544,male,private
224,Maryland,0.772597754471561,3544,male,private
225,Massachusetts,0.7820318930605705,3544,male,private
226,Michigan,0.742611230928988,3544,male,private
227,Minnesota,0.8018364634174344,3544,male,private
228,Mississippi,0.7076646226920669,3544,male,private
229,Missouri,0.7869065277131538,3544,male,private
230,Montana,0.706789428363251,3544,male,private
231,Nebraska,0.8140027572455584,3544,male,private
232,Nevada,0.7094608360233431,3544,male,private
233,New Hampshire,0.8145602438035101,3544,male,private
234,New Jersey,0.7544164168960644,3544,male,private
235,New Mexico,0.6213129214071073,3544,male,private
236,New York,0.7078125398160181,3544,male,private
237,North Carolina,0.7390991974934827,3544,male,private
238,North Dakota,0.8694986966869405,3544,male,private
239,Ohio,0.7473171614016293,3544,male,private
240,Oklahoma,0.6892942901046558,3544,male,private
241,Oregon,0.7545992368326885,3544,male,private
242,Pennsylvania,0.7857099770409263,3544,male,private
243,Rhode Island,0.771847325664888,3544,male,private
244,South Carolina,0.7329707290002728,3544,male,private
245,South Dakota,0.798394366676305,3544,male,private
246,Tennessee,0.7398783114028215,3544,male,private
247,Texas,0.7112197965498991,3544,male,private
248,Utah,0.8096922397540636,3544,male,private
249,Vermont,0.7541881443298969,3544,male,private
250,Virginia,0.7867624595929097,3544,male,private
251,Washington,0.7826944648590105,3544,male,private
252,West Virginia,0.6884543524831506,3544,male,private
253,Wisconsin,0.814485105876819,3544,male,private
254,Wyoming,0.7654689166909127,3544,male,private
255,Alabama,0.7743530563954703,4554,male,private
256,Alaska,0.7331912878787878,4554,male,private
257,Arizona,0.7433934711388641,4554,male,private
258,Arkansas,0.7196087780711038,4554,male,private
259,California,0.7256370835933305,4554,male,private
260,Colorado,0.8120231631278555,4554,male,private
261,Connecticut,0.7491560924978727,4554,male,private
262,Delaware,0.8129757561165336,4554,male,private
263,District of Columbia,0.8048073644732356,4554,male,private
264,Florida,0.7622205427564817,4554,male,private
265,Georgia,0.7905466685548823,4554,male,private
266,Hawaii,0.8383378979589308,4554,male,private
267,Idaho,0.7765057637523042,4554,male,private
268,Illinois,0.7948561066900943,4554,male,private
269,Indiana,0.7947813839710406,4554,male,private
270,Iowa,0.8359988193882683,4554,male,private
271,Kansas,0.825213701494373,4554,male,private
272,Kentucky,0.7289019007696231,4554,male,private
273,Louisiana,0.6820697299395375,4554,male,private
274,Maine,0.7743444088048774,4554,male,private
275,Maryland,0.8217524051236998,4554,male,private
276,Massachusetts,0.8185372921707907,4554,male,private
277,Michigan,0.7743316607011355,4554,male,private
278,Minnesota,0.836937299273095,4554,male,private
279,Mississippi,0.756713851830996,4554,male,private
280,Missouri,0.7992824260180652,4554,male,private
281,Montana,0.7761543327008222,4554,male,private
282,Nebraska,0.8375580923160222,4554,male,private
283,Nevada,0.7557793533948527,4554,male,private
284,New Hampshire,0.8625261185964407,4554,male,private
285,New Jersey,0.7921505505231254,4554,male,private
286,New Mexico,0.6437740748016364,4554,male,private
287,New York,0.7299239847377917,4554,male,private
288,North Carolina,0.785720690220231,4554,male,private
289,North Dakota,0.8807948673140774,4554,male,private
290,Ohio,0.7778302263600119,4554,male,private
291,Oklahoma,0.7128240685182963,4554,male,private
292,Oregon,0.7620435335591874,4554,male,private
293,Pennsylvania,0.8071524131174797,4554,male,private
294,Rhode Island,0.7825971261309207,4554,male,private
295,South Carolina,0.793162047741773,4554,male,private
296,South Dakota,0.8345139472525713,4554,male,private
297,Tennessee,0.7807300631095812,4554,male,private
298,Texas,0.7358883220382969,4554,male,private
299,Utah,0.8246718616511767,4554,male,private
300,Vermont,0.7919430178843325,4554,male,private
301,Virginia,0.8059618044316276,4554,male,private
302,Washington,0.7927365604889647,4554,male,private
303,West Virginia,0.7212129072902287,4554,male,private
304,Wisconsin,0.8410821660674879,4554,male,private
305,Wyoming,0.8308686467006338,4554,male,private
306,Alabama,0.7475206597959876,5564,male,private
307,Alaska,0.6778320645381206,5564,male,private
308,Arizona,0.7337308739957586,5564,male,private
309,Arkansas,0.6652914559488954,5564,male,private
310,California,0.7225924605233927,5564,male,private
311,Colorado,0.7796857773714758,5564,male,private
312,Connecticut,0.7892553692443134,5564,male,private
313,Delaware,0.7773414996513144,5564,male,private
314,District of Columbia,0.6528434462831626,5564,male,private
315,Florida,0.7668676733682801,5564,male,private
316,Georgia,0.7706035395409673,5564,male,private
317,Hawaii,0.7972107963211166,5564,male,private
318,Idaho,0.7877174950444167,5564,male,private
319,Illinois,0.7694060478536682,5564,male,private
320,Indiana,0.7645571228562283,5564,male,private
321,Iowa,0.7903335043612109,5564,male,private
322,Kansas,0.8084516175516968,5564,male,private
323,Kentucky,0.6876252541126602,5564,male,private
324,Louisiana,0.6946908030615964,5564,male,private
325,Maine,0.761468166601321,5564,male,private
326,Maryland,0.8054796221057287,5564,male,private
327,Massachusetts,0.7942702716977478,5564,male,private
328,Michigan,0.7535837040968079,5564,male,private
329,Minnesota,0.8066107752651525,5564,male,private
330,Mississippi,0.7226444714315334,5564,male,private
331,Missouri,0.7649052493549342,5564,male,private
332,Montana,0.7421873874393072,5564,male,private
333,Nebraska,0.8348157338319325,5564,male,private
334,Nevada,0.7567038048760525,5564,male,private
335,New Hampshire,0.8271375288278113,5564,male,private
336,New Jersey,0.8171441345962774,5564,male,private
337,New Mexico,0.6646341965160005,5564,male,private
338,New York,0.7194870138530685,5564,male,private
339,North Carolina,0.7739534755119721,5564,male,private
340,North Dakota,0.8253383373137723,5564,male,private
341,Ohio,0.7626429385493748,5564,male,private
342,Oklahoma,0.6984025444769015,5564,male,private
343,Oregon,0.7455582933471664,5564,male,private
344,Pennsylvania,0.794377338653055,5564,male,private
345,Rhode Island,0.7830856139965996,5564,male,private
346,South Carolina,0.7678097864795648,5564,male,private
347,South Dakota,0.8137863733144074,5564,male,private
348,Tennessee,0.7518247158457767,5564,male,private
349,Texas,0.7583358806361788,5564,male,private
350,Utah,0.8292822605311624,5564,male,private
351,Vermont,0.7620787205132203,5564,male,private
352,Virginia,0.8150814982861934,5564,male,private
353,Washington,0.7845750722898741,5564,male,private
354,West Virginia,0.6877399697065765,5564,male,private
355,Wisconsin,0.812265467749603,5564,male,private
356,Wyoming,0.7960884055428872,5564,male,private
357,Alabama,0.5687177423173446,6574,male,private
358,Alaska,0.596830985915493,6574,male,private
359,Arizona,0.469924550699684,6574,male,private
360,Arkansas,0.4873598097307937,6574,male,private
361,California,0.46871394973462305,6574,male,private
362,Colorado,0.46173657770001125,6574,male,private
363,Connecticut,0.5081955584656518,6574,male,private
364,Delaware,0.5921357859313229,6574,male,private
365,District of Columbia,0.5355830725268744,6574,male,private
366,Florida,0.44278235891744566,6574,male,private
367,Georgia,0.4999292607534373,6574,male,private
368,Hawaii,0.6712649200890147,6574,male,private
369,Idaho,0.5112258577031925,6574,male,private
370,Illinois,0.5188520579014967,6574,male,private
371,Indiana,0.5164210125009993,6574,male,private
372,Iowa,0.5460732076329213,6574,male,private
373,Kansas,0.5506874854346306,6574,male,private
374,Kentucky,0.5229832735321944,6574,male,private
375,Louisiana,0.4890280567938073,6574,male,private
376,Maine,0.47765083183002605,6574,male,private
377,Maryland,0.6836572156737815,6574,male,private
378,Massachusetts,0.5935953228207944,6574,male,private
379,Michigan,0.5831223892221948,6574,male,private
380,Minnesota,0.6029834987994482,6574,male,private
381,Mississippi,0.46261870016707907,6574,male,private
382,Missouri,0.4789138686507387,6574,male,private
383,Montana,0.5081599107693211,6574,male,private
384,Nebraska,0.5554065802842867,6574,male,private
385,Nevada,0.46066858950738854,6574,male,private
386,New Hampshire,0.5631153076093781,6574,male,private
387,New Jersey,0.5761379091486082,6574,male,private
388,New Mexico,0.5192259621600656,6574,male,private
389,New York,0.534728758282339,6574,male,private
390,North Carolina,0.49260528364721207,6574,male,private
391,North Dakota,0.6151780593357318,6574,male,private
392,Ohio,0.5056641809391134,6574,male,private
393,Oklahoma,0.5211428202618246,6574,male,private
394,Oregon,0.504790852135209,6574,male,private
395,Pennsylvania,0.5570265460561851,6574,male,private
396,Rhode Island,0.5484474766028165,6574,male,private
397,South Carolina,0.5397680593215259,6574,male,private
398,South Dakota,0.5700483091787439,6574,male,private
399,Tennessee,0.5053257369333664,6574,male,private
400,Texas,0.467227962208178,6574,male,private
401,Utah,0.5187527096336166,6574,male,private
402,Vermont,0.5655666730806235,6574,male,private
403,Virginia,0.5981667080129001,6574,male,private
404,Washington,0.5427157941371926,6574,male,private
405,West Virginia,0.5462704635085164,6574,male,private
406,Wisconsin,0.5159531240086888,6574,male,private
407,Wyoming,0.5273381705993259,6574,male,private
408,Alabama,0.6204443860110439,o75,male,private
409,Alaska,0.7127659574468085,o75,male,private
410,Arizona,0.5422637701173846,o75,male,private
411,Arkansas,0.5356090503898646,o75,male,private
412,California,0.5053779724848763,o75,male,private
413,Colorado,0.5686528746846737,o75,male,private
414,Connecticut,0.574676436920866,o75,male,private
415,Delaware,0.7335286299400547,o75,male,private
416,District of Columbia,0.6696819787985866,o75,male,private
417,Florida,0.5230522767865915,o75,male,private
418,Georgia,0.5529133618625919,o75,male,private
419,Hawaii,0.7312088254110974,o75,male,private
420,Idaho,0.6223948657321399,o75,male,private
421,Illinois,0.5893056615459482,o75,male,private
422,Indiana,0.588516696215944,o75,male,private
423,Iowa,0.6355498721227621,o75,male,private
424,Kansas,0.6265391457019428,o75,male,private
425,Kentucky,0.6086826485068789,o75,male,private
426,Louisiana,0.5561644947834206,o75,male,private
427,Maine,0.6032147641018009,o75,male,private
428,Maryland,0.6987481765444244,o75,male,private
429,Massachusetts,0.6579597764011003,o75,male,private
430,Michigan,0.7243236029817952,o75,male,private
431,Minnesota,0.6990787591164462,o75,male,private
432,Mississippi,0.5543906619459283,o75,male,private
433,Missouri,0.5629750386382402,o75,male,private
434,Montana,0.6281714355888494,o75,male,private
435,Nebraska,0.5873115250169563,o75,male,private
436,Nevada,0.4963751787918569,o75,male,private
437,New Hampshire,0.6646193461238101,o75,male,private
438,New Jersey,0.6001401505888879,o75,male,private
439,New Mexico,0.5614626798021676,o75,male,private
440,New York,0.5709484592166797,o75,male,private
441,North Carolina,0.6119741654148682,o75,male,private
442,North Dakota,0.7307913988029262,o75,male,private
443,Ohio,0.5780217245782495,o75,male,private
444,Oklahoma,0.6240573420603301,o75,male,private
445,Oregon,0.5849361743301242,o75,male,private
446,Pennsylvania,0.6382997000399327,o75,male,private
447,Rhode Island,0.5993235821240678,o75,male,private
448,South Carolina,0.6483375959079284,o75,male,private
449,South Dakota,0.6206737069297772,o75,male,private
450,Tennessee,0.577282961490102,o75,male,private
451,Texas,0.5266800490917009,o75,male,private
452,Utah,0.5815817350579839,o75,male,private
453,Vermont,0.6257937645950264,o75,male,private
454,Virginia,0.664699937173919,o75,male,private
455,Washington,0.6148723982777844,o75,male,private
456,West Virginia,0.6286317228670362,o75,male,private
457,Wisconsin,0.6082071323888617,o75,male,private
458,Wyoming,0.6869779396016278,o75,male,private
459,Alabama,0.5117740389005571,u6,female,private
460,Alaska,0.5374135827572184,u6,female,private
461,Arizona,0.6018415250940216,u6,female,private
462,Arkansas,0.4652046618996678,u6,female,private
463,California,0.6090068229041306,u6,female,private
464,Colorado,0.6502054825452739,u6,female,private
465,Connecticut,0.6084877011843304,u6,female,private
466,Delaware,0.5626550678469691,u6,female,private
467,District of Columbia,0.7578107183580388,u6,female,private
468,Florida,0.5295594137679397,u6,female,private
469,Georgia,0.53738577736526,u6,female,private
470,Hawaii,0.6574838108851493,u6,female,private
471,Idaho,0.6050846932771808,u6,female,private
472,Illinois,0.6381523901487097,u6,female,private
473,Indiana,0.5718074012275788,u6,female,private
474,Iowa,0.6086836461372779,u6,female,private
475,Kansas,0.6692532470705511,u6,female,private
476,Kentucky,0.5184489978079099,u6,female,private
477,Louisiana,0.45643665420478813,u6,female,private
478,Maine,0.6356445365773826,u6,female,private
479,Maryland,0.6418240607181235,u6,female,private
480,Massachusetts,0.6515843267431125,u6,female,private
481,Michigan,0.6179457989438067,u6,female,private
482,Minnesota,0.6917647427068987,u6,female,private
483,Mississippi,0.4820857195263619,u6,female,private
484,Missouri,0.583598710366517,u6,female,private
485,Montana,0.5670549490760505,u6,female,private
486,Nebraska,0.7093412999125619,u6,female,private
487,Nevada,0.5700202175796669,u6,female,private
488,New Hampshire,0.673584956783266,u6,female,private
489,New Jersey,0.6201765158585908,u6,female,private
490,New Mexico,0.40153923102986494,u6,female,private
491,New York,0.5794539263736102,u6,female,private
492,North Carolina,0.5509305250101925,u6,female,private
493,North Dakota,0.7479464504177007,u6,female,private
494,Ohio,0.5836583010087341,u6,female,private
495,Oklahoma,0.45796355871096567,u6,female,private
496,Oregon,0.6104789986659076,u6,female,private
497,Pennsylvania,0.5859528199910982,u6,female,private
498,Rhode Island,0.6575298186637359,u6,female,private
499,South Carolina,0.5203771638197868,u6,female,private
500,South Dakota,0.6350439976877128,u6,female,private
501,Tennessee,0.5386242075046982,u6,female,private
502,Texas,0.5162775417466462,u6,female,private
503,Utah,0.7967635465467873,u6,female,private
504,Vermont,0.6173072092439086,u6,female,private
505,Virginia,0.6593315124566701,u6,female,private
506,Washington,0.6031526796554787,u6,female,private
507,West Virginia,0.5306040938592111,u6,female,private
508,Wisconsin,0.6546701418798384,u6,female,private
509,Wyoming,0.5498728876925377,u6,female,private
510,Alabama,0.5594600856544347,618,female,private
511,Alaska,0.6173828283648769,618,female,private
512,Arizona,0.615657996828931,618,female,private
513,Arkansas,0.5070850162777123,618,female,private
514,California,0.5786033118721983,618,female,private
515,Colorado,0.6580165281836505,618,female,private
516,Connecticut,0.6485587988163519,618,female,private
517,Delaware,0.639307486597128,618,female,private
518,District of Columbia,0.591394500311471,618,female,private
519,Florida,0.5993473146929071,618,female,private
520,Georgia,0.5781324612096683,618,female,private
521,Hawaii,0.6831163598338402,618,female,private
522,Idaho,0.6687592591541461,618,female,private
523,Illinois,0.6568330195005552,618,female,private
524,Indiana,0.6321518583841402,618,female,private
525,Iowa,0.6618105634249906,618,female,private
526,Kansas,0.6808844164695506,618,female,private
527,Kentucky,0.5722420300285123,618,female,private
528,Louisiana,0.49243083303179846,618,female,private
529,Maine,0.6679445887059925,618,female,private
530,Maryland,0.6677763089052284,618,female,private
531,Massachusetts,0.7016931845497655,618,female,private
532,Michigan,0.6661068825310258,618,female,private
533,Minnesota,0.7227955233597536,618,female,private
534,Mississippi,0.5197404002163332,618,female,private
535,Missouri,0.6441827898142485,618,female,private
536,Montana,0.5918550290486565,618,female,private
537,Nebraska,0.6972279760489887,618,female,private
538,Nevada,0.6180953882347234,618,female,private
539,New Hampshire,0.7061538461538461,618,female,private
540,New Jersey,0.6624466581547306,618,female,private
541,New Mexico,0.4119924607139613,618,female,private
542,New York,0.6089538605262702,618,female,private
543,North Carolina,0.588353857494973,618,female,private
544,North Dakota,0.7890705732174336,618,female,private
545,Ohio,0.6366370631001081,618,female,private
546,Oklahoma,0.5333162516466653,618,female,private
547,Oregon,0.635505568070053,618,female,private
548,Pennsylvania,0.6478666307774501,618,female,private
549,Rhode Island,0.6956671514965934,618,female,private
550,South Carolina,0.5724291888165346,618,female,private
551,South Dakota,0.708261671141687,618,female,private
552,Tennessee,0.5927941617586571,618,female,private
553,Texas,0.5611401618381995,618,female,private
554,Utah,0.8062032824179396,618,female,private
555,Vermont,0.6466511659405404,618,female,private
556,Virginia,0.6851866762906876,618,female,private
557,Washington,0.6405617377325805,618,female,private
558,West Virginia,0.5942096381023814,618,female,private
559,Wisconsin,0.7042029418657906,618,female,private
560,Wyoming,0.6803809364688191,618,female,private
561,Alabama,0.7386826843063458,1925,female,private
562,Alaska,0.5975507401190294,1925,female,private
563,Arizona,0.6578565702431293,1925,female,private
564,Arkansas,0.6562471139022883,1925,female,private
565,California,0.6354117310689077,1925,female,private
566,Colorado,0.7372612573585723,1925,female,private
567,Connecticut,0.7205134511709532,1925,female,private
568,Delaware,0.7230577619025238,1925,female,private
569,District of Columbia,0.7418566369032773,1925,female,private
570,Florida,0.6926365898665864,1925,female,private
571,Georgia,0.6928812457770354,1925,female,private
572,Hawaii,0.7849396154457333,1925,female,private
573,Idaho,0.7245978688929189,1925,female,private
574,Illinois,0.7093088055970911,1925,female,private
575,Indiana,0.723473895645648,1925,female,private
576,Iowa,0.7270539866549841,1925,female,private
577,Kansas,0.7775549782282557,1925,female,private
578,Kentucky,0.6282112010320188,1925,female,private
579,Louisiana,0.5755291153131001,1925,female,private
580,Maine,0.7559408160215214,1925,female,private
581,Maryland,0.7192394400795584,1925,female,private
582,Massachusetts,0.7870008471358046,1925,female,private
583,Michigan,0.708676756747129,1925,female,private
584,Minnesota,0.7714886871067878,1925,female,private
585,Mississippi,0.6459528696199308,1925,female,private
586,Missouri,0.7233763567134124,1925,female,private
587,Montana,0.6768821777966822,1925,female,private
588,Nebraska,0.7708570569151107,1925,female,private
589,Nevada,0.6640910808616018,1925,female,private
590,New Hampshire,0.8439891901316363,1925,female,private
591,New Jersey,0.7111768674855503,1925,female,private
592,New Mexico,0.5150016868899566,1925,female,private
593,New York,0.7002640222261848,1925,female,private
594,North Carolina,0.7100166853301195,1925,female,private
595,North Dakota,0.8129258567607127,1925,female,private
596,Ohio,0.7020552215094416,1925,female,private
597,Oklahoma,0.6015618327782049,1925,female,private
598,Oregon,0.677977340213913,1925,female,private
599,Pennsylvania,0.7351437275509801,1925,female,private
600,Rhode Island,0.7629366673818487,1925,female,private
601,South Carolina,0.6915553257406782,1925,female,private
602,South Dakota,0.7485386418123535,1925,female,private
